 frequency    ntf_gmc_fd_db ntf_ref_se_db
 1.18018e+03 -3.18943e+01 -3.14879e+01 
 1.20774e+03 -3.10970e+01 -3.06860e+01 
 1.23594e+03 -3.02998e+01 -2.98841e+01 
 1.26480e+03 -2.95027e+01 -2.90820e+01 
 1.29433e+03 -2.87056e+01 -2.82799e+01 
 1.32456e+03 -2.79086e+01 -2.74777e+01 
 1.35549e+03 -2.71117e+01 -2.66753e+01 
 1.38714e+03 -2.63148e+01 -2.58729e+01 
 1.41953e+03 -2.55180e+01 -2.50703e+01 
 1.45267e+03 -2.47211e+01 -2.42675e+01 
 1.48659e+03 -2.39243e+01 -2.34646e+01 
 1.52131e+03 -2.31276e+01 -2.26615e+01 
 1.55683e+03 -2.23308e+01 -2.18584e+01 
 1.59318e+03 -2.15341e+01 -2.10550e+01 
 1.63038e+03 -2.07375e+01 -2.02516e+01 
 1.66845e+03 -1.99409e+01 -1.94482e+01 
 1.70741e+03 -1.91444e+01 -1.86447e+01 
 1.74728e+03 -1.83481e+01 -1.78413e+01 
 1.78808e+03 -1.75521e+01 -1.70380e+01 
 1.82983e+03 -1.67565e+01 -1.62351e+01 
 1.87256e+03 -1.59614e+01 -1.54328e+01 
 1.91628e+03 -1.51671e+01 -1.46312e+01 
 1.96103e+03 -1.43738e+01 -1.38308e+01 
 2.00682e+03 -1.35819e+01 -1.30319e+01 
 2.05368e+03 -1.27918e+01 -1.22351e+01 
 2.10163e+03 -1.20041e+01 -1.14411e+01 
 2.15071e+03 -1.12195e+01 -1.06507e+01 
 2.20093e+03 -1.04390e+01 -9.86506e+00 
 2.25232e+03 -9.66351e+00 -9.08546e+00 
 2.30491e+03 -8.89453e+00 -8.31353e+00 
 2.35873e+03 -8.13368e+00 -7.55119e+00 
 2.41381e+03 -7.38294e+00 -6.80078e+00 
 2.47017e+03 -6.64467e+00 -6.06503e+00 
 2.52785e+03 -5.92162e+00 -5.34709e+00 
 2.58688e+03 -5.21695e+00 -4.65054e+00 
 2.64728e+03 -4.53424e+00 -3.97936e+00 
 2.70910e+03 -3.87737e+00 -3.33777e+00 
 2.77236e+03 -3.25051e+00 -2.73017e+00 
 2.83709e+03 -2.65790e+00 -2.16089e+00 
 2.90334e+03 -2.10367e+00 -1.63393e+00 
 2.97113e+03 -1.59159e+00 -1.15269e+00 
 3.04051e+03 -1.12480e+00 -7.19716e-01 
 3.11150e+03 -7.05553e-01 -3.36439e-01 
 3.18416e+03 -3.35023e-01 -3.05622e-03 
 3.25851e+03 -1.31840e-02  2.81495e-01 
 3.33460e+03  2.61188e-01  5.19440e-01 
 3.41246e+03  4.90407e-01  7.13973e-01 
 3.49214e+03  6.77679e-01  8.68993e-01 
 3.57369e+03  8.26847e-01  9.88819e-01 
 3.65713e+03  9.42125e-01  1.07792e+00 
 3.74253e+03  1.02785e+00  1.14071e+00 
 3.82992e+03  1.08825e+00  1.18132e+00 
 3.91935e+03  1.12734e+00  1.20358e+00 
 4.01086e+03  1.14876e+00  1.21086e+00 
